side,firstblood,firstdragon,void_grubs,opp_void_grubs,firsttower,turretplates,opp_turretplates,golddiffat10,xpdiffat10,killsat10,opp_killsat10,golddiffat15,xpdiffat15,killsat15,opp_killsat15,result
1,1,0,6,0,1,3,0,1164,628,2,0,3235,2069,6,1,1
0,0,1,0,6,0,0,3,-1164,-628,0,2,-3235,-2069,1,6,0
1,1,0,6,0,1,8,5,882,233,5,4,1729,-596,6,5,0
0,0,1,0,6,0,5,8,-882,-233,4,5,-1729,596,5,6,1
1,0,1,5,1,1,3,1,-883,-478,0,2,-331,392,1,3,0
0,1,0,1,5,0,1,3,883,478,2,0,331,-392,3,1,1
1,0,1,3,3,1,3,0,-392,103,0,1,-461,298,1,2,0
0,1,0,3,3,0,0,3,392,-103,1,0,461,-298,2,1,1
1,0,0,6,0,1,4,4,-2074,-1386,1,6,-1735,-895,4,9,0
0,1,1,0,6,0,4,4,2074,1386,6,1,1735,895,9,4,1
1,1,1,3,3,1,5,3,2468,436,5,0,4091,525,7,1,1
0,0,0,3,3,0,3,5,-2468,-436,0,5,-4091,-525,1,7,0
1,0,0,3,3,1,0,3,-334,574,3,2,-157,858,7,5,0
0,1,1,3,3,0,3,0,334,-574,2,3,157,-858,5,7,1
1,0,0,4,2,0,4,5,-1176,-637,2,3,-576,432,4,5,0
0,1,1,2,4,1,5,4,1176,637,3,2,576,-432,5,4,1
1,0,0,6,0,0,7,5,1702,1487,6,4,291,-539,6,7,1
0,1,1,0,6,1,5,7,-1702,-1487,4,6,-291,539,7,6,0
1,1,0,6,0,1,9,2,824,717,3,3,3773,1505,4,3,1
0,0,1,0,6,0,2,9,-824,-717,3,3,-3773,-1505,3,4,0
1,0,0,2,4,0,2,5,267,-290,0,0,-1356,-659,0,1,0
0,1,1,4,2,1,5,2,-267,290,0,0,1356,659,1,0,1
1,1,0,6,0,1,3,0,2064,781,2,1,5224,2738,7,2,1
0,0,1,0,6,0,0,3,-2064,-781,1,2,-5224,-2738,2,7,0
1,1,1,3,0,0,3,5,1637,629,4,0,1789,1034,5,0,1
0,0,0,0,3,1,5,3,-1637,-629,0,4,-1789,-1034,0,5,0
1,1,0,1,5,0,0,3,-179,302,1,2,-2336,-2228,6,11,0
0,0,1,5,1,1,3,0,179,-302,2,1,2336,2228,11,6,1
1,1,1,3,3,1,5,4,2144,1183,3,0,3081,1694,7,1,1
0,0,0,3,3,0,4,5,-2144,-1183,0,3,-3081,-1694,1,7,0
1,0,1,5,1,1,2,2,-607,-410,0,2,-290,33,0,2,1
0,1,0,1,5,0,2,2,607,410,2,0,290,-33,2,0,0
1,1,1,6,0,1,8,3,2361,2077,7,4,7278,6054,16,5,1
0,0,0,0,6,0,3,8,-2361,-2077,4,7,-7278,-6054,5,16,0
1,0,0,3,3,1,4,5,-247,-963,0,0,-1309,-2830,0,1,0
0,1,1,3,3,0,5,4,247,963,0,0,1309,2830,1,0,1
1,1,1,5,1,1,14,4,2842,2340,5,1,6227,4283,10,5,1
0,0,0,1,5,0,4,14,-2842,-2340,1,5,-6227,-4283,5,10,0
1,1,0,3,3,0,5,6,-257,-1406,1,1,-390,-1860,5,3,0
0,0,1,3,3,1,6,5,257,1406,1,1,390,1860,3,5,1
1,0,1,2,4,0,4,2,-1508,-438,0,0,-1556,-830,1,1,1
0,1,0,4,2,1,2,4,1508,438,0,0,1556,830,1,1,0
1,0,1,0,6,0,2,3,-1274,-984,0,3,-4486,-3673,0,8,0
0,1,0,6,0,1,3,2,1274,984,3,0,4486,3673,8,0,1
1,1,0,6,0,0,4,3,667,249,3,2,1673,1946,5,2,0
0,0,1,0,6,1,3,4,-667,-249,2,3,-1673,-1946,2,5,1
1,0,0,6,0,1,6,5,87,674,0,1,48,146,3,5,0
0,1,1,0,6,0,5,6,-87,-674,1,0,-48,-146,5,3,1
1,1,1,5,1,1,6,0,1129,414,1,1,4204,3420,3,1,1
0,0,0,1,5,0,0,6,-1129,-414,1,1,-4204,-3420,1,3,0
1,1,0,0,6,1,6,3,490,-364,2,2,1946,230,4,4,0
0,0,1,6,0,0,3,6,-490,364,2,2,-1946,-230,4,4,1
1,1,1,6,0,1,6,7,1026,-197,4,3,1446,367,6,3,1
0,0,0,0,6,0,7,6,-1026,197,3,4,-1446,-367,3,6,0
1,1,1,1,5,1,12,4,2801,337,6,2,3335,-91,7,5,1
0,0,0,5,1,0,4,12,-2801,-337,2,6,-3335,91,5,7,0
1,1,1,3,3,1,7,2,535,105,2,3,3961,3860,5,3,1
0,0,0,3,3,0,2,7,-535,-105,3,2,-3961,-3860,3,5,0
1,1,0,3,3,0,2,3,367,-645,2,0,-902,-1702,6,5,1
0,0,1,3,3,1,3,2,-367,645,0,2,902,1702,5,6,0
1,1,0,6,0,1,6,1,940,634,1,1,1708,804,1,1,1
0,0,1,0,6,0,1,6,-940,-634,1,1,-1708,-804,1,1,0
1,0,0,0,6,0,3,1,-148,94,2,1,-1726,-276,2,3,1
0,1,1,6,0,1,1,3,148,-94,1,2,1726,276,3,2,0
1,0,1,6,0,0,6,6,-719,-19,1,2,-833,-997,2,3,0
0,1,0,0,6,1,6,6,719,19,2,1,833,997,3,2,1
1,0,0,6,0,1,4,3,584,-291,0,0,777,-163,3,2,1
0,1,1,0,6,0,3,4,-584,291,0,0,-777,163,2,3,0
1,1,0,2,4,0,0,8,544,-428,3,1,-329,-571,7,4,0
0,0,1,4,2,1,8,0,-544,428,1,3,329,571,4,7,1
1,1,0,6,0,0,4,1,2298,518,2,0,2821,282,2,0,0
0,0,1,0,6,1,1,4,-2298,-518,0,2,-2821,-282,0,2,1
1,1,0,6,0,1,4,0,1466,752,2,0,2872,3067,3,0,1
0,0,1,0,6,0,0,4,-1466,-752,0,2,-2872,-3067,0,3,0
1,1,0,4,2,1,5,2,1595,1171,1,0,2710,914,3,2,1
0,0,1,2,4,0,2,5,-1595,-1171,0,1,-2710,-914,2,3,0
1,1,0,6,0,0,3,2,568,210,0,0,895,-27,4,3,1
0,0,1,0,6,1,2,3,-568,-210,0,0,-895,27,3,4,0
1,0,0,3,3,0,5,8,-2477,-2036,0,5,-1759,-110,3,5,0
0,1,1,3,3,1,8,5,2477,2036,5,0,1759,110,5,3,1
1,0,0,4,2,0,2,4,-1166,-262,1,2,-3827,-1822,1,6,0
0,1,1,2,4,1,4,2,1166,262,2,1,3827,1822,6,1,1
1,1,1,1,5,1,4,1,1346,1236,2,0,3260,2246,5,2,0
0,0,0,5,1,0,1,4,-1346,-1236,0,2,-3260,-2246,2,5,1
1,1,1,2,3,1,2,3,6,-258,2,1,821,1120,4,2,1
0,0,0,3,2,0,3,2,-6,258,1,2,-821,-1120,2,4,0
1,1,0,6,0,1,6,1,1583,43,1,0,3915,1408,3,1,0
0,0,1,0,6,0,1,6,-1583,-43,0,1,-3915,-1408,1,3,1
1,1,1,2,3,0,1,4,-608,-792,0,0,-354,-1711,2,1,0
0,0,0,3,2,1,4,1,608,792,0,0,354,1711,1,2,1
1,0,1,3,3,0,3,5,-1601,-1406,0,0,-1552,-860,1,1,0
0,1,0,3,3,1,5,3,1601,1406,0,0,1552,860,1,1,1
1,1,0,6,0,1,10,1,2139,3319,2,1,532,1148,2,3,0
0,0,1,0,6,0,1,10,-2139,-3319,1,2,-532,-1148,3,2,1
1,0,0,6,0,0,3,8,-1616,650,0,5,-3954,-813,0,6,0
0,1,1,0,6,1,8,3,1616,-650,5,0,3954,813,6,0,1
